Tên sản phẩm,CPU,RAM,Dung lượng,Màn hình,Giá bán,Dung lượng pin,Hệ điều hành,Hãng sản xuất
Điện thoại realme C65s 8GB/128GB,Unisoc Tiger T612,8 GB,128 GB,6.745,4690000,5000 mAh,Android 14,realme
Điện thoại iPhone 16 Pro Max 256GB,Apple A18 Pro,8 GB,256 GB,6.9,34990000,4787 mAh,iOS 18,Apple
Điện thoại Xiaomi Redmi Note 13 8GB/128GB,Snapdragon 685,8 GB,128 GB,6.67,4990000,5000 mAh,Android 13,Xiaomi
Điện thoại Samsung Galaxy Z Flip6 5G 12GB/256GB,Snapdragon 8 Gen 3,12 GB,256 GB,6.7,26990000,4000 mAh,Android 14,Samsung
Điện thoại vivo Y28 8GB/128GB,MediaTek Helio G85,8 GB,128 GB,6.68,5490000,6000 mAh,Android 14,vivo
Điện thoại OPPO A3x 4GB/64GB,Snapdragon 6s Gen 1,4 GB,64 GB,6.67,3290000,5100 mAh,Android 14,OPPO
Điện thoại Tecno Spark 20C 8GB/128GB,MediaTek Helio G36,8 GB,128 GB,6.56,2590000,5000 mAh,Android 13 ,
Điện thoại HONOR X5 Plus 4GB/64GB,MediaTek Helio G36,4 GB,64 GB,6.56,2490000,5200 mAh,Android 13,HONOR
Điện thoại Samsung Galaxy M35 5G 8GB/256GB,Exynos 1380,8 GB,256 GB,6.6,8790000,6000 mAh,Android 14,Samsung
Điện thoại Xiaomi POCO M6 6GB/128GB,MediaTek Helio G91 Ultra,6 GB,128 GB,6.79,3890000,5030 mAh,Android 14,Xiaomi
Điện thoại Xiaomi 14 5G 12GB/256GB,Snapdragon 8 Gen 3,12 GB,256 GB,6.36,19990000,4610 mAh,Android 14,Xiaomi
Điện thoại TCL 505 4GB/128GB,MediaTek Helio G36,4GB,128 GB,6.75,1790000,5010 mAh,Android 14,
Điện thoại OPPO Reno12 5G 12GB/256GB,Snapdragon 8 Gen 2,12 GB,256 GB,6.7,12990000,5000 mAh,Android 14,OPPO
Điện thoại OPPO Find N3 5G 16GB/512GB,Snapdragon 8 Gen 2,16 GB,512 GB,7.82,41990000,4805 mAh,Android 13,OPPO
Điện thoại realme Note 60 4GB/64GB,Unisoc Tiger T612,4 GB,64 GB,6.745,2990000,5000 mAh,Android 14,realme
Điện thoại Samsung Galaxy A55 5G,Exynos 1480,12 GB,256 GB,6.6,11490000,5000 mAh,Android 14,Samsung
Điện thoại Samsung Galaxy S23 FE 5G,Exynos 2200,8 GB,128 GB,6.4,10990000,4500 mAh,Android 13,Samsung
Điện thoại Samsung Galaxy S24 Ultra 5G,Snapdragon 8 Gen 3,12 GB,256 GB,6.8,29990000,5000 mAh,Android 14,Samsung
Điện thoại iPhone 16 Pro 128G,Apple A18 Pro,8 GB ,128 GB,6.3,28990000,3577 mAh,iOS 18,Apple
Điện thoại iPhone 15 128G,Apple A16 Bionic,6 GB ,128 GB,6.1,19490000,3349 mAh,iOS 17,Apple
Điện thoại iPhone 13 256G,Apple A15 Bionic,4 GB ,256 GB,6.1,18790000,3240 mAh,iOS 15,Apple
Điện thoại OPPO Reno11 F 5G 8GB/256GB Tím,MediaTek Dimensity 7050 5G,8 GB,256 GB,6.7,18790000,5000 mAh,Android 14,OPPO
Điện thoại OPPO Reno10 Pro+ 5G 12GB/256GB,Snapdragon 8+ Gen 1,12 GB,256 GB,6.74,18790000,4700 mAh,Android 13,OPPO
Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng,MediaTek Dimensity 9200 5G,12 GB,256 GB,6.8,18790000,4300 mAh,Android 13,OPPO
Điện thoại Xiaomi 14 Ultra 5G 16GB/512GB,Snapdragon 8 Gen 3,16 GB,512 GB,6.73,18790000,5000 mAh,Android 14,Xiaomi
Điện thoại Xiaomi 14T Pro 5G 12GB/256GB,MediaTek Dimensity 9300+,12 GB,256 GB,6.67,18790000,5000 mAh,Android 14,Xiaomi
Điện thoại Xiaomi Redmi Note 13 8GB/128GB,Snapdragon 685,8 GB,128 GB,6.67,18790000,5000 mAh,Android 13,Xiaomi
Điện thoại iPhone 16 Plus 128GB,Apple A18 Bionic,8 GB,128 GB,6.7,24990000,4577 mAh,iOS 18,Apple
Vivo V30E 12GB 256GB,Qualcomm Snapdragon 6 Gen1,12 GB,256 GB,6.78,18790000,5500 mAh,Android 13,vivo
realme 11 Pro 5G 8GB 256GB,Chip Dimensity 7050 5G,16 GB,256 GB,6.78,18790000,5000 mAh,Android 13,realme
